名称,价格,店铺评分,商品评价,服务态度,物流速度,品牌,商品毛重,企口类型,底板厚度,类别,店铺,晒图,好评,中评,差评
傲胜地板12mm强化复合地板单锁扣木质地板木地板ASL3系列 ASL3001 1214*146*12mm,199.00 ,9.62,9.93,9.55,9.6,傲胜（ALLSUN）,24.0kg,单锁口,12mm,强化复合地板,傲胜地板官方旗舰店,0,0,0,0
傲胜地板德国进口12mm强化复合地板单锁扣橡木地板木质地板木地板 ASXP0系列 ASXP008 1215*142*12mm,149.00 ,9.62,9.93,9.55,9.6,傲胜（ALLSUN）,23.0kg,单锁口,12mm,强化复合地板,傲胜地板官方旗舰店,0,1600,1,2
傲胜地板泰国柚木10mm强化复合地板单锁口木质地板木地板ASL0系列 ASL0001 1215*142*10mm,129.00 ,9.62,9.93,9.55,9.6,傲胜（ALLSUN）,15.0kg,单锁口,10mm,强化复合地板,傲胜地板官方旗舰店,0,0,0,0
奥地利白橡 强化复合木地板 12mm 实测甲醛E0 考斯菲尔厂家直销 LJ-8808,128.00 ,9.71,9.83,9.71,9.74,考斯菲尔,2.086kg,其他,12mm,强化复合地板,考斯菲尔旗舰店,0,1,0,0
百爱木塑 户外地板 塑木地板 宽140mm 厚25mm 六圆孔木塑地板 190元/平米 P16柚木色 YK2000*140*25mm,210.00 ,-----,-----,-----,-----,百爱,6.5kg,其他,其他,其他材质地板,百爱木塑专营店,0,0,0,0
百爱木塑 户外地板 塑木地板 宽140mm 厚25mm 实心木塑地板 265元/平米 P4棕红色 计价单位=平方米,265.00 ,-----,-----,-----,-----,百爱,4.4kg,其他,其他,其他材质地板,百爱木塑专营店,0,0,0,0
百爱木塑 户外地板 塑木地板 室外地板 C14025mm 木塑地板 165元/平米 P16柚木色 计价单位=平方米,165.00 ,-----,-----,-----,-----,百爱,19.2kg,其他,其他,其他材质地板,百爱木塑专营店,0,0,0,0
百爱木塑 户外地板 塑木地板 室外地板 宽146mm 厚31mm 木塑地板 185元/平米 P1B巧克力色 计价单位=平方米,185.00 ,-----,-----,-----,-----,百爱,26.0kg,其他,其他,其他材质地板,百爱木塑专营店,0,0,0,0
百强 防腐木碳化木地板天然重竹木户外地板庭院阳台室内室外140*18,88.00 ,9.25,9.19,9.27,9.25,百强（BAIQIANG）,1.0kg,,,,百强旗舰店,0,1,0,0
百强ACQ芬兰木拼花地板 进口户外防潮防腐阳台浴室防滑实木地板,29.00 ,9.25,9.19,9.27,9.25,百强（BAIQIANG）,20.0kg,其他,其他,实木地板,百强旗舰店,2,2,0,0
百强板材 南方松深度碳化木户外地板材庭院室外实木地板136*25,28.80 ,9.25,9.19,9.27,9.25,百强（BAIQIANG）,100.00g,,,,百强旗舰店,0,0,0,0
百世地板 强化复合地板木地板地热实木地板 TG系列 桔色W001,69.00 ,9.58,9.55,9.57,9.56,百世,2.0kg,单锁口,10mm,强化复合地板,家居就建材家居旗舰店,0,10,0,0
北欧灰颜色地板家用复合地板欧式个性强化木地板防水加厚耐磨12mm 时光年轮,89.00 ,-----,-----,-----,-----,万象,18.0kg,R型槽,12mm,强化复合地板,万象家居旗舰店,0,0,0,0
北欧木语俄罗斯榆木纹砖150 600 文化石 仿古砖客厅瓷砖 仿实木地板砖 BO56006,8.70 ,9.29,9.16,9.39,9.31,北欧木语,18.0kg,其他,10mm,其他材质地板,北欧木语旗舰店,0,3,0,0
贝尔纯实木橡木地板仿古手抓纹佛罗里达白橡18mm裸板价 浅色,249.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,2.1kg,平口,18mm,实木地板,贝尔德豪专卖店,0,1,0,0
贝尔纯实木橡木地板田纳西橡木18mm 浅色,265.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,1.0kg,平口,18mm,实木地板,贝尔德豪专卖店,0,2,0,0
贝尔地板  12mm复合木地板 封蜡防水家用耐磨哑光木纹 菽庄花园,76.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,2.5kg,V型槽,12mm,强化复合地板,贝尔德豪专卖店,0,0,0,0
贝尔地板  12mm复合木地板封蜡防水家用耐磨哑光木纹 菽庄花园,76.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,2.5kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,3,1,0,0
贝尔地板 包安装和辅料 强化复合木地板  仿 实木家用木地板12mm  伊亚小镇系列 伊亚浅橡,88.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,1.6kg,V型槽,12mm,强化复合地板,贝尔德豪专卖店,4,700,1,2
贝尔地板 标板橡木 纯实木地板 进口原木环保   脚感舒适  家用手抓纹 东方印橡 浅色款,335.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,20.0kg,平口,18mm,实木地板,贝尔地板旗舰店,0,0,0,0
贝尔地板 厂家直销 实木复合地板15mm 多层实木地板 穆赫兰大道 小麦金,199.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,22.0kg,其他,15mm,实木复合地板,贝尔德豪专卖店,0,70,0,0
贝尔地板 厂家直销纯实木地板 18mm橡木地板仿古手抓纹 进口栎木 家用自然环保 凭阑秋思,265.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.1kg,普槽,18mm,实木地板,贝尔地板旗舰店,0,0,0,0
贝尔地板 厂家直销纯实木地板 18mm橡木地板仿古手抓纹 进口栎木 家用自然环保 凭阑秋思,265.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,1.1kg,普槽,18mm,实木地板,贝尔德豪专卖店,0,0,0,0
贝尔地板 厂家直销强化复合木地板12mm家用防水木地板  威廉古堡 威廉古堡,179.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,15.0kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,0,0,0,0
贝尔地板 厂家直销强化复合木地板12mm家用防水木地板 威廉古堡 威廉古堡,179.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,15.0kg,V型槽,12mm,强化复合地板,贝尔德豪专卖店,0,0,0,0
贝尔地板 出口级品质 浅色系耐用 强化复合木地板 仿古仿实木家用地暖 婺源晨韵.12mm 1平方,86.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.6kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板 出口级品质 浅色系耐用 强化复合木地板 仿古仿实木家用地暖 婺源晨韵12mm,69.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.6kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,22,20,0,0
贝尔地板 纯实木地板 18mm 橡木地板仿 古手抓纹 进口橡木 自然环保家用 莫罗城堡 浅色款,249.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,2.1kg,平口,18mm,实木地板,贝尔德豪专卖店,0,0,0,0
贝尔地板 纯实木地板 18mm仿古手抓纹 进口栎木橡木 自然环保家用 尊贵橡木 浅色款,265.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.0kg,平口,18mm,实木地板,贝尔地板旗舰店,54,300,1,4
贝尔地板 纯实木地板 18mm进口纯橡木 仿古手抓纹 厂家直销 环保自然 古橡絮语 骨感浅,249.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.0kg,平口,18mm,实木复合地板,贝尔地板旗舰店,18,600,0,0
贝尔地板 纯实木地板 18mm橡木地板仿古手抓纹 进口橡木自然环保家用 莫罗城堡 浅色款,249.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,2.1kg,平口,18mm,实木地板,贝尔地板旗舰店,47,20,0,0
贝尔地板 纯实木地板 18mm橡木仿古手抓纹 进口栎木原材 健康环保 厂家直销波斯王子,265.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,1.1kg,平口,18mm,实木地板,贝尔德豪专卖店,0,0,0,0
贝尔地板 纯实木地板 国槐槐木 耐腐蚀 依云小镇 . 深色款/1平方,289.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,2.5kg,平口,18mm,实木地板,淘云米家装专营店,0,0,0,0
贝尔地板 纯实木地板 橡木地板仿古手抓纹 进口栎木原材 健康环保出口级 波斯王子. 18mm,384.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.1kg,平口,18mm,实木地板,淘云米家装专营店,0,0,0,0
贝尔地板 纯实木地板 橡木地板仿古手抓纹 进口栎木原材 健康环保出口级 厂家直销波斯王子,265.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.1kg,平口,18mm,实木地板,贝尔地板旗舰店,10,10,1,2
贝尔地板 纯实木地板东南亚进口番龙眼18mm家用环保 红枫古道 浅色,169.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.0kg,平口,18mm,实木地板,贝尔地板旗舰店,9,70,0,0
贝尔地板 多层实木地板 橡木实木复合地板 15mm经典橡木浅色 摩洛哥印橡,165.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.1kg,平口,15mm,实木复合地板,贝尔地板旗舰店,0,0,0,0
贝尔地板 多层实木地板 橡木实木复合地板 15mm经典橡木浅色 摩洛哥印橡,165.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,1.1kg,平口,15mm,实木复合地板,贝尔德豪专卖店,0,0,0,0
贝尔地板 多层实木复合木地板 稳定耐用  白蜡木 威廉世家. 15mm,254.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.0kg,平口,15mm,实木复合地板,淘云米家装专营店,0,0,0,0
贝尔地板 多层实木复合木地板 稳定耐用包物流 进口白蜡木 威廉世家15mm,175.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.0kg,平口,15mm,实木复合地板,贝尔地板旗舰店,3,4,0,0
贝尔地板 俄罗斯进口橡木仿古手抓纹 家用环保无甲醛 厂家直销 橡木浅色实木地板 18mm 深色款,265.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.0kg,平口,18mm,实木地板,贝尔地板旗舰店,16,10,0,0
贝尔地板 番龙眼纯实木地板 健康环保漆 厂家直销 浅色家用卧室客厅地板 A+拉丝18mm,206.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,1.6kg,平口,18mm,实木地板,贝尔德豪专卖店,0,0,0,0
贝尔地板 番龙眼纯实木地板 健康环保漆 小菠萝格地板 中式美式红  浪漫芭提雅.18mm 1平方,307.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.5kg,平口,18mm,实木地板,淘云米家装专营店,0,0,0,0
贝尔地板 番龙眼纯实木地板 健康环保漆小菠萝格地板厂家直销 中式美式红18mm 波尔多之韵 深色款,205.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,2.0kg,平口,18mm,实木地板,贝尔地板旗舰店,2,30,0,0
贝尔地板 复合木地板12mm强化地板CARB认证基材E0环保 伊丽莎白系列 横锯面,81.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,1.0kg,其他,12mm,强化复合地板,贝尔德豪专卖店,,,,
贝尔地板 复合木地板封蜡防水家用哑光木纹 菽庄花园12mm 1平方,96.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.6kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板 桦木纯实木地板 厂家直销 浅色家用卧室客厅实木地板 普罗旺斯18mm,255.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.6kg,平口,18mm,实木地板,贝尔地板旗舰店,0,1,0,0
贝尔地板 进口番龙眼纯实木地板 东南亚风情健康环保漆 实木A拉丝地板 . 浅色款/1平方,296.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.5kg,平口,18mm,实木地板,淘云米家装专营店,0,0,0,0
贝尔地板 进口番龙眼实木地板18mm锁扣地热地暖实木 薄暮森林 棕榈色,265.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.0kg,V型槽,18mm,实木地板,贝尔地板旗舰店,0,10,1,0
贝尔地板 模压复合木地板 仿古手抓纹强化畅销北美12mm 秋明晨曦 秋明晨曦,98.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.6kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,0,1,0,0
贝尔地板 浅色卧室地板 强化复合木地板  幕野之光 12mm. 深色款/1平方,88.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,2.2kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板 强化地板 复合环保木地板 地暖地热地板 耐磨防滑镜面 包安装包辅材 茵梦湖款 12mm,99.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.6kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,9,0,0
贝尔地板 强化复合地板 地暖地热环保橡木地板 耐磨环保大亚基材  维罗纳橡木 深色款,85.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,2.0kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,55,200,3,10
贝尔地板 强化复合木地板 12mm环保耐磨 仿古手抓真木纹 银末金沙 深色款,73.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,2.1kg,V型槽,12mm,强化复合地板,贝尔德豪专卖店,0,0,0,0
贝尔地板 强化复合木地板 超耐磨镜面仿实木铺装 绿色环保  12mm  温莎风情 淡雅,73.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,2.5kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,28,900,1,2
贝尔地板 强化复合木地板 大亚基材 地暖地热防潮耐磨 手抓纹12mm 天鹅湖 深色款,69.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.2kg,平口,12mm,强化复合地板,贝尔地板旗舰店,2,1,0,0
贝尔地板 强化复合木地板 大亚基材 地暖地热防潮耐磨复合地板 手抓纹加州橡木 12mm. 浅色款/1平方,107.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.2kg,平口,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板 强化复合木地板 地暖地板 耐磨防滑环保 三拼花地板 挪威西海岸 12mm.. 灰色款/1平方,93.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.6kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板 强化复合木地板 仿实木地暖地热地板 12mm耐磨镜面 维多利亚 黄橡,76.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.5kg,R型槽,12mm,强化复合地板,贝尔地板旗舰店,23,100,1,5
贝尔地板 强化复合木地板 家用环保仿实木地板 卡布奇诺12mm 1平方,86.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.6kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板 强化复合木地板 温莎城堡灰色8mm 1平方,63.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,2.0kg,R型槽,8mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板 强化复合木地板 卧室儿童地板 仿实木环保地板 魔镜实木色款12mm,69.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.6kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,0,2,0,1
贝尔地板 强化复合木地板 卧室儿童地板 仿实木环保地板 魔镜实木色款茵梦湖. 12mm,86.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.6kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板 强化复合木地板12mm 实测E0 环保 CARB基材 横锯纹 爱乐之城 气质浅灰,168.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,15.0kg,V型槽,12mm,强化复合地板,贝尔德豪专卖店,0,0,0,0
贝尔地板 强化复合木地板12mm仿实木 环保耐磨 乞力马扎罗系列 5895 浅色款,76.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,2.5kg,V型槽,12mm,强化复合地板,贝尔德豪专卖店,0,1,0,0
贝尔地板 强化复合木地板12mm时尚三拼个性环保耐磨家用 秘密花园 秘密花园,179.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,15.0kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,0,0,0,0
贝尔地板 强化复合木地板12mm时尚三拼个性环保耐磨家用 秘密花园 秘密花园,179.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,15.0kg,V型槽,12mm,强化复合地板,贝尔德豪专卖店,0,0,0,0
贝尔地板 强化复合木地板12mm实测E0环保CARB基材横锯纹 爱乐之城 文艺浅橡,168.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,15.0kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,0,0,0,0
贝尔地板 强化复合木地板12mm原木纹理家用耐磨地热适用 苏堤春晓 12mm. 白色款/1平方,93.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.6kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板 强化复合木地板12mm原木纹理家用耐磨地热适用 苏堤春晓 白色款,73.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,2.5kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,0,0,0,0
贝尔地板 强化复合木地板仿实木环保地板 美式淡色简爱系列柚木款8mm 耐磨小浮雕,53.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.6kg,V型槽,8mm,强化复合地板,贝尔地板旗舰店,0,5,0,0
贝尔地板 强化复合木地板仿实木环保地板 卧室家用地板 耐磨镜面 巴黎恋人12mm 1平方,86.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.1kg,R型槽,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板 强化复合木地板环保大亚基材家用耐磨防滑 艾斯本橡木 12mm. 深色款/1平方,107.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.6kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板 强化复合木地板环保耐磨 仿古手抓真木纹 银末金沙 12mm. 深色款/1平方,88.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.6kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,1,0,0
贝尔地板 实木地板 标板橡木 仿古手抓纹环保 印第安金橡18mm 1平方,482.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.5kg,平口,15mm,实木地板,淘云米家装专营店,0,0,0,0
贝尔地板 实木地板 橡木标板  翡冷翠之城18mm 1平方,482.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.5kg,平口,18mm,实木地板,淘云米家装专营店,0,0,0,0
贝尔地板 实木地板 橡木地板仿古 佛罗里达白橡. 气质棕色/1平方,377.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.5kg,平口,18mm,实木地板,淘云米家装专营店,0,0,0,0
贝尔地板 橡木多层实木地板灰色地板15mm 北欧风格家用 柏林万橡 柏林万橡,169.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,22.0kg,平口,15mm,实木复合地板,贝尔地板旗舰店,0,10,0,0
贝尔地板 橡木强化地板 强化复合木地板 地暖地板12mm 仿古小浮雕面厂家直销 英格兰橡木 浅色款,73.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,2.5kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,39,70,3,2
贝尔地板 圆盘豆纯实木地板 原木环保标板 鎏金岁月. 深色款/1平方,309.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.5kg,平口,18mm,实木地板,淘云米家装专营店,0,0,0,0
